epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4171,3.44155,8.47005,0.89541,0.00167,0.22727,0.00111,0.00027,2.09218,10.1536,0.89005,0.00016,0.00016,0.00016
2,32.3619,2.87108,6.05611,0.7503,0.00117,0.15909,0.00079,0.00021,1.96232,9.89438,0.88388,0.00032878,0.00032878,0.00032878
3,47.9462,2.68379,5.5337,0.75731,0.00117,0.15909,0.00073,0.00019,2.15385,10.0981,0.88926,0.00048568,0.00048568,0.00048568
4,63.409,2.52339,4.63284,0.7326,0.0005,0.06818,0.00027,5e-05,1.65186,9.234,0.8687,0.0006307,0.0006307,0.0006307
5,78.5687,2.39165,3.8691,0.74128,0.00333,0.45455,0.00285,0.00077,2.57638,9.88083,0.90708,0.00076384,0.00076384,0.00076384
6,93.6897,2.33313,3.89553,0.73718,0.00583,0.79545,0.00773,0.00385,1.95602,8.50745,0.87805,0.0008851,0.0008851,0.0008851
7,108.9,2.16791,3.40729,0.73126,0.00683,0.93182,0.04065,0.01642,2.07936,8.32187,0.8879,0.00099448,0.00099448,0.00099448
8,123.918,2.00956,3.29478,0.73604,0.00733,1,0.73604,0.27615,2.04056,7.45067,0.88986,0.00109198,0.00109198,0.00109198
9,138.731,2.08218,3.09659,0.73545,0.89911,0.63636,0.84792,0.3607,2.07445,6.88738,0.89218,0.0011776,0.0011776,0.0011776
10,153.865,1.97432,3.10786,0.72326,1,0.51168,0.99456,0.46703,1.85583,6.1722,0.88239,0.00125134,0.00125134,0.00125134
11,169.436,2.26082,2.82202,0.74261,0.94976,0.85935,0.91528,0.26187,2.8386,6.46374,0.90809,0.0013132,0.0013132,0.0013132
12,184.522,2.18738,2.98172,0.72815,0.97667,0.95148,0.99256,0.3129,2.75735,5.88889,0.91428,0.001274,0.001274,0.001274
13,200.033,2.21685,2.80909,0.71316,0.98981,1,0.995,0.46261,2.0229,4.89242,0.87917,0.001208,0.001208,0.001208
14,214.634,2.05278,2.94567,0.72291,0.97519,1,0.995,0.62055,1.38666,4.21234,0.86628,0.001142,0.001142,0.001142
15,229.301,1.90342,3.48964,0.7589,0.97033,1,0.99411,0.6599,1.28537,3.92772,0.86224,0.001076,0.001076,0.001076
16,243.739,2.25624,2.73637,0.73429,0.97748,0.98661,0.99456,0.53975,1.65885,4.09067,0.87228,0.00101,0.00101,0.00101
17,259.301,2.11301,2.45014,0.73197,0.97647,1,0.99456,0.49777,1.85126,4.2353,0.87796,0.000944,0.000944,0.000944
18,275.065,2.07221,2.13832,0.71927,0.97602,1,0.99456,0.50021,1.96849,4.36964,0.88094,0.000878,0.000878,0.000878
19,290.837,1.76223,2.44762,0.70643,0.99731,1,0.995,0.65373,1.36118,3.80026,0.86288,0.000812,0.000812,0.000812
20,307.263,2.15154,2.31431,0.70106,0.99752,1,0.995,0.64996,1.35474,3.74205,0.86513,0.000746,0.000746,0.000746
21,322.274,1.7066,2.59692,0.72819,0.99778,1,0.995,0.6286,1.42386,3.74981,0.86648,0.00068,0.00068,0.00068
22,337.859,1.58464,2.5075,0.76627,0.99767,1,0.995,0.65308,1.37901,3.69657,0.86388,0.000614,0.000614,0.000614
23,354.243,1.49532,2.54826,0.76274,0.99773,1,0.995,0.62039,1.53836,3.80803,0.86718,0.000548,0.000548,0.000548
24,369.307,1.54323,2.36953,0.74473,0.99789,1,0.995,0.57164,1.65165,3.93251,0.8708,0.000482,0.000482,0.000482
25,384.595,1.60057,2.50635,0.76018,0.99796,1,0.995,0.55814,1.64536,3.97443,0.86755,0.000416,0.000416,0.000416
