epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.042,5.04024,4.65678,2.71161,0.00717,0.91117,0.04586,0.01138,3.02067,3.20626,1.46286,0.00016,0.00016,0.00016
2,100.522,3.42807,3.44134,1.97129,0.00647,0.98985,0.11518,0.02062,2.16267,3.30223,2.2585,0.00032878,0.00032878,0.00032878
3,152.765,2.49493,2.84442,1.86871,0.00968,0.99492,0.39375,0.19157,2.27495,2.6509,2.67745,0.00048568,0.00048568,0.00048568
4,201.4,1.94372,2.10099,1.82245,0.72635,0.70737,0.74703,0.36565,2.31272,1.39681,2.64548,0.0006307,0.0006307,0.0006307
5,249.933,1.94873,1.59634,1.90611,0.90783,0.79999,0.906,0.59756,1.295,1.09854,1.65133,0.00076384,0.00076384,0.00076384
6,298.356,1.61991,1.21569,1.75255,0.97521,0.89847,0.96684,0.59584,1.25501,0.98408,1.62527,0.0008851,0.0008851,0.0008851
7,346.435,1.60159,1.16038,1.68557,0.98658,0.93309,0.97979,0.50125,1.85037,1.83037,2.0944,0.00099448,0.00099448,0.00099448
8,394.932,1.49847,1.08896,1.60467,0.98654,0.93027,0.96975,0.5147,1.75592,1.84913,2.02675,0.00109198,0.00109198,0.00109198
9,442.799,1.20634,0.94243,1.44205,0.98651,0.92823,0.97185,0.6429,1.24448,1.1448,1.57357,0.0011776,0.0011776,0.0011776
10,491.028,1.23722,0.93783,1.41979,0.99197,0.94003,0.97948,0.37005,2.11121,1.43544,2.52969,0.00125134,0.00125134,0.00125134
11,539.108,1.1288,0.88921,1.35978,0.98686,0.94416,0.97963,0.72213,1.01264,0.79135,1.37638,0.0013132,0.0013132,0.0013132
12,586.826,1.14043,0.81498,1.42412,0.98406,0.9399,0.98097,0.72591,0.88201,0.95994,1.28408,0.001274,0.001274,0.001274
13,634.637,1.24129,0.84977,1.42278,0.98689,0.95178,0.9759,0.76993,0.81014,0.8473,1.2325,0.001208,0.001208,0.001208
14,682.152,1.03795,1.07893,1.19448,0.98134,0.93453,0.97767,0.67599,1.18342,0.84486,1.42989,0.001142,0.001142,0.001142
15,731.896,1.08071,0.75873,1.29691,0.98168,0.95199,0.97769,0.80693,0.69815,0.57995,1.11124,0.001076,0.001076,0.001076
16,779.919,1.11246,0.71713,1.31295,0.98342,0.9467,0.9808,0.7378,0.88281,0.60995,1.21976,0.00101,0.00101,0.00101
17,827.713,1.15141,0.7789,1.36779,0.97617,0.94924,0.97936,0.66621,1.14198,0.7771,1.39441,0.000944,0.000944,0.000944
18,876.628,0.97125,0.73204,1.21549,0.98862,0.9467,0.97994,0.77577,0.78743,0.67396,1.18775,0.000878,0.000878,0.000878
19,924.25,1.06734,0.728,1.29835,0.9719,0.95178,0.98415,0.78738,0.75935,0.57943,1.15648,0.000812,0.000812,0.000812
20,971.847,1.0801,0.71879,1.24611,0.97914,0.95314,0.98708,0.79823,0.75783,0.54629,1.14958,0.000746,0.000746,0.000746
21,1019.37,0.79599,0.59594,1.19512,0.98059,0.95178,0.98622,0.82898,0.67061,0.572,1.10167,0.00068,0.00068,0.00068
22,1066.5,0.82671,0.60706,1.20025,0.99109,0.94924,0.98792,0.77836,0.80031,0.5639,1.18845,0.000614,0.000614,0.000614
23,1113.59,0.76574,0.57194,1.16122,0.99022,0.95431,0.98046,0.5896,1.39897,0.63473,1.66464,0.000548,0.000548,0.000548
24,1160.77,0.68431,0.53385,1.06875,0.98126,0.94924,0.98553,0.82967,0.63697,0.47988,1.07384,0.000482,0.000482,0.000482
25,1207.96,0.80096,0.54341,1.21923,0.96925,0.9601,0.9856,0.82372,0.65286,0.48706,1.08075,0.000416,0.000416,0.000416
26,1255.23,0.7559,0.53438,1.13352,0.97669,0.95732,0.98455,0.82733,0.6534,0.45837,1.07418,0.00035,0.00035,0.00035
27,1302.42,0.66986,0.51246,1.07254,0.98001,0.9467,0.98506,0.82779,0.64569,0.45686,1.07116,0.000284,0.000284,0.000284
28,1349.66,0.65046,0.51214,1.06268,0.97911,0.95184,0.98608,0.834,0.63213,0.45029,1.06094,0.000218,0.000218,0.000218
29,1396.58,0.65173,0.49375,1.04627,0.98198,0.95431,0.98624,0.83733,0.63118,0.45079,1.05644,0.000152,0.000152,0.000152
30,1444.04,0.70007,0.48868,1.07666,0.98374,0.95178,0.98407,0.82837,0.66203,0.46123,1.06901,8.6e-05,8.6e-05,8.6e-05
