epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0809,3.15845,4.79794,2.93521,0,0,0,0,2.93362,4.38554,3.04564,8e-05,8e-05,8e-05
2,32.6901,2.74538,4.14681,2.50723,0.00317,0.475,0.00482,0.0006,2.18795,4.1216,2.23229,0.000176436,0.000176436,0.000176436
3,47.0563,2.28961,3.31449,2.11736,0.00667,1,0.01622,0.00759,1.90258,3.76053,1.85492,0.000268912,0.000268912,0.000268912
4,61.5641,2.13493,3.0251,1.98944,0.00667,1,0.01526,0.00407,2.12476,3.68456,2.09947,0.000357428,0.000357428,0.000357428
5,75.5181,1.94559,2.87664,1.88281,0.00667,1,0.10256,0.02345,2.14868,3.69139,2.00899,0.000441984,0.000441984,0.000441984
6,89.4188,1.91629,2.58545,1.98488,0.00667,1,0.04546,0.01112,1.97542,3.71009,1.86907,0.00052258,0.00052258,0.00052258
7,103.413,2.06736,2.37711,1.9784,0.00667,1,0.0358,0.01113,2.25063,3.50509,2.10284,0.000599216,0.000599216,0.000599216
8,117.414,1.90478,2.27822,1.92493,0.00667,1,0.04019,0.00905,1.77673,3.33274,1.93849,0.000671892,0.000671892,0.000671892
9,131.504,1.85114,2.01793,1.78518,0.00667,1,0.03111,0.00984,1.55267,3.45597,1.55648,0.000740608,0.000740608,0.000740608
10,145.31,1.78879,2.01514,1.70523,0.00667,1,0.01149,0.00594,1.42023,3.3956,1.63542,0.000805364,0.000805364,0.000805364
11,159.218,1.78811,1.80994,1.67667,0.00617,0.925,0.09395,0.07445,1.49181,3.37415,1.72534,0.00086616,0.00086616,0.00086616
12,173.566,1.77527,1.73209,1.81526,0.00617,0.925,0.35334,0.2336,1.30238,3.18513,1.58113,0.000922996,0.000922996,0.000922996
13,188.536,1.70455,1.71926,1.69226,0.00633,0.95,0.52182,0.35901,1.23437,3.02848,1.54537,0.000975872,0.000975872,0.000975872
14,202.812,1.50984,1.71962,1.62149,1,0.6566,0.91074,0.58592,1.30693,2.31684,1.6074,0.00102479,0.00102479,0.00102479
15,217.558,1.51262,1.48144,1.59626,0.90881,0.74753,0.93487,0.59376,1.31408,1.92637,1.62251,0.00106974,0.00106974,0.00106974
16,231.654,1.59245,1.52309,1.55473,0.88238,0.7502,0.935,0.58933,1.5692,1.92946,1.8533,0.00111074,0.00111074,0.00111074
17,246.107,1.55876,1.49884,1.52934,1,0.66606,0.919,0.59845,1.32105,2.09941,1.62379,0.00114778,0.00114778,0.00114778
18,260.027,1.60743,1.43765,1.58709,1,0.59385,0.86785,0.50328,1.54682,2.14786,1.79757,0.00118085,0.00118085,0.00118085
19,274.28,1.42674,1.4921,1.51121,0.94376,0.625,0.86183,0.5968,1.09364,2.10375,1.43737,0.00120997,0.00120997,0.00120997
20,288.594,1.39048,1.39748,1.45074,0.96724,0.925,0.95278,0.66283,1.25008,1.28566,1.54135,0.00123512,0.00123512,0.00123512
21,303.243,1.30384,1.2845,1.43857,0.9897,0.925,0.95442,0.64831,1.17752,1.16156,1.50661,0.001208,0.001208,0.001208
22,317.482,1.59005,1.35222,1.59845,0.98957,0.925,0.9562,0.64572,1.18194,1.12665,1.53063,0.0011684,0.0011684,0.0011684
23,332.113,1.36888,1.26237,1.44521,0.99341,0.925,0.96089,0.70139,1.0969,1.08009,1.40525,0.0011288,0.0011288,0.0011288
24,346.148,1.34182,1.19029,1.42575,0.99487,0.925,0.96711,0.62903,1.3399,1.08153,1.56855,0.0010892,0.0010892,0.0010892
25,360.224,1.34282,1.26176,1.39029,0.9915,0.925,0.96382,0.6726,1.10279,1.20973,1.39042,0.0010496,0.0010496,0.0010496
26,374.161,1.28771,1.24435,1.34177,0.97768,0.925,0.96286,0.63633,1.16239,1.39989,1.47072,0.00101,0.00101,0.00101
27,387.803,1.1359,1.17248,1.30588,1,0.94466,0.96909,0.64781,1.14704,1.07792,1.43586,0.0009704,0.0009704,0.0009704
28,401.741,1.14588,1.17992,1.33934,0.99712,0.925,0.97614,0.69551,0.99232,0.9339,1.30641,0.0009308,0.0009308,0.0009308
29,416.297,1.13268,1.05952,1.28413,0.9742,0.94429,0.97435,0.68942,1.14192,0.91589,1.4148,0.0008912,0.0008912,0.0008912
30,431.467,1.18631,1.12476,1.2781,0.99582,0.925,0.97288,0.70349,1.05765,0.9677,1.36159,0.0008516,0.0008516,0.0008516
31,446.397,1.08384,1.0434,1.25132,0.99479,0.925,0.96996,0.70009,0.97968,0.9749,1.31361,0.000812,0.000812,0.000812
32,461.048,1.0269,0.98926,1.21689,1,0.94671,0.95963,0.71827,0.98573,1.01789,1.2949,0.0007724,0.0007724,0.0007724
33,475.651,0.9967,0.99866,1.22719,0.97279,0.95,0.97234,0.72785,1.01776,0.95523,1.31897,0.0007328,0.0007328,0.0007328
34,489.894,0.91506,0.96302,1.177,0.97291,0.95,0.95254,0.73105,0.97918,0.90246,1.28916,0.0006932,0.0006932,0.0006932
35,503.978,0.98603,0.97615,1.19194,1,0.9458,0.96108,0.72709,1.01972,0.8774,1.32674,0.0006536,0.0006536,0.0006536
36,518.62,0.97812,0.95804,1.19228,1,0.94726,0.98166,0.64513,1.27581,0.93418,1.5193,0.000614,0.000614,0.000614
37,533.296,0.97562,0.92173,1.2342,1,0.94669,0.97392,0.63328,1.31265,0.94935,1.57011,0.0005744,0.0005744,0.0005744
38,548.23,1.03308,0.8712,1.22001,1,0.94664,0.97481,0.69443,1.06676,0.97238,1.373,0.0005348,0.0005348,0.0005348
39,562.635,0.93843,0.88788,1.16611,0.99616,0.925,0.97589,0.69976,1.03473,0.95199,1.34078,0.0004952,0.0004952,0.0004952
40,577.037,0.95422,0.91583,1.20582,0.99417,0.975,0.98627,0.6299,1.26317,0.8681,1.52576,0.0004556,0.0004556,0.0004556
41,591.164,0.9787,1.00606,1.26389,1,0.94891,0.98138,0.69611,1.03385,0.81458,1.32926,0.000416,0.000416,0.000416
42,605.53,0.86205,0.93161,1.19422,1,0.94894,0.98167,0.73873,0.94365,0.7953,1.28842,0.0003764,0.0003764,0.0003764
43,619.442,0.79962,0.90938,1.13312,1,0.94933,0.98076,0.7286,0.95757,0.80434,1.31235,0.0003368,0.0003368,0.0003368
