epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5546,4.61255,15.2455,1.40976,0.0004,0.06045,0.00022,5e-05,4.15879,9.08083,1.24412,0.000653595,0.000653595,0.000653595
2,97.7954,4.08829,7.78828,1.18366,0.00295,0.44836,0.01114,0.00267,3.77433,6.55356,1.07701,0.00129412,0.00129412,0.00129412
3,143.864,3.9272,5.86784,1.13796,0.66332,0.02519,0.07632,0.01704,3.67263,5.25653,1.04975,0.00190825,0.00190825,0.00190825
4,189.869,3.81036,5.17423,1.08015,0.32197,0.35264,0.2056,0.04727,3.59092,3.98626,1.05038,0.0018812,0.0018812,0.0018812
5,235.618,3.63567,4.57881,1.01171,0.33095,0.36776,0.20109,0.0433,3.57517,3.36265,1.04114,0.0018416,0.0018416,0.0018416
6,282.117,3.62749,4.21781,1.0135,0.32566,0.36776,0.20121,0.04302,3.60877,4.08457,1.02972,0.001802,0.001802,0.001802
7,328.078,3.55783,3.86464,0.99285,0.30564,0.39043,0.20649,0.04183,3.63588,3.43661,1.03348,0.0017624,0.0017624,0.0017624
8,374.44,3.53031,3.53404,0.99614,0.3665,0.40806,0.25957,0.05726,3.45203,3.17819,0.99994,0.0017228,0.0017228,0.0017228
9,420.734,3.6221,3.35985,0.99326,0.40332,0.46851,0.29047,0.06433,3.47814,3.15867,1.00987,0.0016832,0.0016832,0.0016832
10,467.488,3.48983,3.33089,0.99895,0.33324,0.43073,0.23748,0.05204,3.39854,2.83194,0.98292,0.0016436,0.0016436,0.0016436
11,514.245,3.44069,2.93906,0.9688,0.39709,0.43073,0.27404,0.06433,3.46552,2.84633,1.00713,0.001604,0.001604,0.001604
12,559.967,3.44915,3.03876,0.98072,0.43274,0.44332,0.29493,0.06844,3.42053,2.74589,0.99597,0.0015644,0.0015644,0.0015644
13,605.993,3.47067,2.73501,0.98055,0.40746,0.40806,0.24877,0.05792,3.64583,2.93242,1.07844,0.0015248,0.0015248,0.0015248
14,651.558,3.29764,2.54893,0.94708,0.40657,0.48666,0.34314,0.07921,3.33307,2.52909,0.96276,0.0014852,0.0014852,0.0014852
15,697.303,3.34474,2.45488,0.95297,0.47507,0.4582,0.38019,0.08909,3.30676,2.28691,0.96557,0.0014456,0.0014456,0.0014456
16,743.148,3.21847,2.45566,0.97139,0.43992,0.47607,0.34612,0.07847,3.27209,2.34756,0.95963,0.001406,0.001406,0.001406
17,789.363,3.17524,2.39882,0.96019,0.48835,0.46851,0.37989,0.09452,3.2759,2.21669,0.96857,0.0013664,0.0013664,0.0013664
18,834.908,3.21261,2.33511,0.95248,0.50183,0.51763,0.40273,0.09522,3.27235,2.13734,0.96582,0.0013268,0.0013268,0.0013268
19,881.76,3.2688,2.27542,0.96139,0.5342,0.53154,0.3966,0.09924,3.26996,2.09164,0.96766,0.0012872,0.0012872,0.0012872
20,928.813,3.32588,2.31909,0.93325,0.42433,0.46045,0.32829,0.08189,3.30612,2.12619,0.98722,0.0012476,0.0012476,0.0012476
21,977.578,3.23815,2.06217,0.93375,0.54711,0.51731,0.4443,0.10723,3.2465,2.02978,0.96193,0.001208,0.001208,0.001208
22,1024.11,3.19643,2.00238,0.91384,0.52905,0.52393,0.42279,0.10464,3.19657,1.95986,0.9549,0.0011684,0.0011684,0.0011684
23,1069.75,2.98663,1.9438,0.91709,0.53304,0.53195,0.41286,0.10065,3.16831,1.86171,0.95244,0.0011288,0.0011288,0.0011288
24,1116.13,3.11664,1.91456,0.90669,0.56908,0.489,0.41054,0.09732,3.20041,1.82063,0.94696,0.0010892,0.0010892,0.0010892
25,1162.08,3.15301,1.83548,0.92653,0.55531,0.51272,0.40828,0.09014,3.23187,1.89332,0.95273,0.0010496,0.0010496,0.0010496
26,1211.08,3.11565,1.8134,0.93868,0.49701,0.51024,0.37059,0.09706,3.22647,1.81418,0.9566,0.00101,0.00101,0.00101
27,1257.82,3.19679,1.8598,0.90342,0.54279,0.51637,0.39415,0.09616,3.20689,1.80595,0.94638,0.0009704,0.0009704,0.0009704
28,1303.9,3.17709,1.71842,0.90094,0.52199,0.53652,0.41895,0.10323,3.18406,1.81878,0.93783,0.0009308,0.0009308,0.0009308
29,1349.57,3.13178,1.77927,0.90337,0.56261,0.55668,0.45231,0.11299,3.1745,1.75385,0.93995,0.0008912,0.0008912,0.0008912
30,1396.88,3.17938,1.78271,0.92937,0.58392,0.55919,0.47153,0.12184,3.1757,1.69536,0.94755,0.0008516,0.0008516,0.0008516
31,1443.9,3.13665,1.76948,0.95168,0.57769,0.53752,0.44241,0.11766,3.11827,1.67458,0.94412,0.000812,0.000812,0.000812
32,1489.72,3.21029,1.75415,0.92002,0.53452,0.51889,0.43525,0.10087,3.19703,1.70733,0.93725,0.0007724,0.0007724,0.0007724
33,1536.03,3.12966,1.6758,0.91721,0.55835,0.56675,0.43778,0.11952,3.15562,1.65835,0.94214,0.0007328,0.0007328,0.0007328
34,1582.39,3.11539,1.69664,0.90636,0.56526,0.56423,0.46523,0.11857,3.14227,1.61346,0.93356,0.0006932,0.0006932,0.0006932
35,1628.52,3.01484,1.64998,0.91027,0.61119,0.59194,0.47932,0.11481,3.17218,1.61557,0.94887,0.0006536,0.0006536,0.0006536
36,1674.04,3.09535,1.5897,0.91375,0.63398,0.61713,0.50463,0.13537,3.08008,1.55561,0.92954,0.000614,0.000614,0.000614
37,1721.63,2.99838,1.60269,0.89208,0.62356,0.59248,0.49064,0.12785,3.12523,1.59702,0.93242,0.0005744,0.0005744,0.0005744
38,1767.88,2.99646,1.59411,0.91656,0.63035,0.58416,0.49369,0.13203,3.11352,1.54886,0.9351,0.0005348,0.0005348,0.0005348
39,1813.6,2.93369,1.56284,0.91004,0.64602,0.60221,0.49862,0.13366,3.09581,1.53845,0.93701,0.0004952,0.0004952,0.0004952
40,1859.37,2.93253,1.53505,0.91499,0.64299,0.60705,0.5293,0.13048,3.04704,1.52065,0.91606,0.0004556,0.0004556,0.0004556
41,1904.99,2.95326,1.80155,0.91696,0.62504,0.60045,0.5347,0.13506,3.03527,1.50529,0.91536,0.000416,0.000416,0.000416
42,1950.45,2.94378,1.76189,0.93777,0.64292,0.60318,0.51312,0.1422,3.0826,1.52257,0.93821,0.0003764,0.0003764,0.0003764
43,1996.17,2.89362,1.60348,0.95685,0.64552,0.63476,0.54496,0.14664,2.99945,1.51451,0.91564,0.0003368,0.0003368,0.0003368
44,2041.7,2.94259,1.67053,0.95901,0.63047,0.61461,0.51436,0.13965,3.00725,1.52404,0.91622,0.0002972,0.0002972,0.0002972
45,2087.66,2.8532,1.66171,0.94972,0.65046,0.5995,0.51891,0.14312,3.02585,1.51699,0.92584,0.0002576,0.0002576,0.0002576
46,2133.35,2.87228,1.66278,0.96236,0.65024,0.61461,0.53571,0.14052,3.02768,1.51671,0.93155,0.000218,0.000218,0.000218
47,2178.28,2.89299,1.64508,0.95487,0.62046,0.58438,0.49292,0.13433,2.99265,1.48958,0.91991,0.0001784,0.0001784,0.0001784
